계번호,계열,한글명,정체자,간체자,병음,직역,원전 구절,대표 출처/고사,출처유형,전략태그,현대적 해석,의미적 통찰,적용분야,공통 출처 URL
11,적전계,이대도강,李代桃僵,李代桃僵,lǐ dài táo jiāng,오얏나무가 복숭아나무 대신 말라 죽다,『삼십육계』 제11계 원문: 勢必有損，損陰以益陽。,고대 악부시 계열의 ‘복숭아와 오얏나무가 서로 대신한다’는 표현에서 유래한 희생·대체의 성어로 해석된다.,문학전거·성어,"대체희생, 손실관리, 우선순위",작은 손실을 감수하여 더 큰 체계와 장기목표를 보존한다.,모든 것을 지키려 하면 핵심을 잃는다. 전략적 손실은 실패가 아니라 전체 생존성을 높이는 비용으로 설계될 수 있다.,위기관리·포트폴리오·작전보존,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
12,적전계,순수견양,順手牽羊,顺手牵羊,shùn shǒu qiān yáng,손 가는 대로 양을 끌고 가다,『삼십육계』 제12계 원문: 微隙在所必乘，微利在所必得。少陰，少陽。,작은 기회도 놓치지 말라는 중국 성어권의 기회주의적 전술 원리에서 유래한다.,성어·전술원리,"소기회, 민첩성, 부수이익",큰 작전 중 발견되는 작은 이익도 신속히 포착한다.,"민첩한 조직은 계획된 목표만 보지 않는다. 실행 중 발생하는 작은 데이터, 고객 반응, 빈틈을 포착해 누적 우위를 만든다.",사업개발·정보수집·전술운용,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
13,공전계,타초경사,打草驚蛇,打草惊蛇,dǎ cǎo jīng shé,풀을 쳐서 뱀을 놀라게 하다,『삼십육계』 제13계 원문: 疑以叩實，察而後動；復者，陰之媒也。,당대 단성식 『유양잡조』 등에서 보이는 ‘풀을 치니 뱀이 놀란다’는 표현 계열과 연결되는 성어다.,문헌성어·정찰원리,"탐색타격, 반응유도, 정찰",작은 자극을 주어 숨은 상대의 위치·의도·반응을 드러나게 한다.,"정보가 부족할 때는 대규모 행동보다 탐색적 자극이 유효하다. 프로빙, 레드팀 테스트, 제한적 공개질의는 숨은 위험을 노출시킨다.",정보수집·사이버보안·감사,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
14,공전계,차시환혼,借屍還魂,借尸还魂,jiè shī huán hún,시체를 빌려 혼을 되살리다,『삼십육계』 제14계 원문: 有用者，不可借；不能用者，求借。借不能用者而用之。,"도교·민간신앙의 환혼 이미지가 병법적으로 전환되어, 쇠퇴한 형식·조직·명분을 빌려 새 힘을 얻는 계책으로 해석된다.",민간신앙·은유,"재활용, 명분차용, 레거시활용",버려진 제도·브랜드·조직·기술에 새 목적을 부여해 다시 사용한다.,"낡은 껍데기도 새로운 의미와 자원을 결합하면 전략자산이 된다. 레거시 시스템, 폐기 브랜드, 기존 조직명은 재맥락화될 때 재생 가능하다.",브랜드재생·조직개편·기술전환,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
15,공전계,조호이산,調虎離山,调虎离山,diào hǔ lí shān,호랑이를 산에서 끌어내다,『삼십육계』 제15계 원문: 待天以困之，用人以誘之，往蹇來返。,호랑이를 본거지에서 떼어내야 제압할 수 있다는 고전적 전술 은유에서 유래한다.,성어·전술은유,"유인, 지형박탈, 조건전환",상대가 강한 장소와 조건에서 분리해 불리한 환경으로 유도한다.,"상대의 강점은 능력 자체보다 그 능력이 작동하는 환경에 있다. 플랫폼, 시장, 지형, 여론 등 유리한 맥락을 제거하면 강자도 취약해진다.",협상·기동전·경쟁전략,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
16,공전계,욕금고종,欲擒故縱,欲擒故纵,yù qín gù zòng,잡고자 하면 일부러 놓아주다,『삼십육계』 제16계 원문: 逼則反兵，走則減勢。緊隨勿迫，累其氣力，消其鬥志。散而後擒，兵不血刃。,제갈량이 맹획을 여러 차례 풀어주어 마음으로 복속시켰다는 『삼국지연의』 계열의 칠종칠금 고사가 대표 사례다.,역사소설·전술고사,"완급조절, 심리소모, 포획전략",즉시 압박하지 않고 상대가 스스로 힘을 소모하게 만든 뒤 결정적으로 장악한다.,"강압은 반발을 만든다. 상대에게 제한된 자유를 주면 그의 욕망·패턴·취약점이 드러나고, 장기적으로 더 안정적인 통제가 가능하다.",협상·치안·조직관리,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
17,공전계,포전인옥,抛磚引玉,抛砖引玉,pāo zhuān yǐn yù,벽돌을 던져 옥을 끌어내다,『삼십육계』 제17계 원문: 類以誘之，擊蒙也。,중국 문학·선문답 전통에서 보이는 ‘작은 것을 내어 큰 것을 얻는다’는 성어적 표현에서 유래한다.,문학성어·유인전술,"미끼, 교환비, 유인",작은 가치의 미끼를 던져 상대의 더 큰 자산·정보·행동을 유도한다.,"좋은 전략은 투입과 산출의 비대칭을 만든다. 작은 샘플, 시제품, 양보, 정보조각은 더 큰 반응과 데이터를 끌어내는 장치가 될 수 있다.",마케팅·정보전·협상,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
18,공전계,금적금왕,擒賊擒王,擒贼擒王,qín zéi qín wáng,도적을 잡으려면 왕을 잡다,『삼십육계』 제18계 원문: 摧其堅，奪其魁，以解其體。龍戰於野，其道窮也。,"두보 「전출새」의 ‘사람을 쏘려면 먼저 말을 쏘고, 적을 잡으려면 먼저 왕을 잡으라’는 구절과 연결된다.",문학전거·지휘중심타격,"중심타격, 지휘부제압, 핵심노드",말단보다 지휘·상징·의사결정 중심을 장악해 전체 체계를 무력화한다.,"복잡한 체계는 모든 노드를 때릴 필요가 없다. 영향력이 집중된 핵심 노드, 지휘자, 플랫폼 소유자, 데이터 허브를 장악하면 전체 네트워크가 흔들린다.",리더십교체·군사작전·플랫폼전략,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
19,혼전계,부저추신,釜底抽薪,釜底抽薪,fǔ dǐ chōu xīn,가마솥 밑의 장작을 빼다,『삼십육계』 제19계 원문: 不敵其力，而消其勢，兌下乾上之象。,끓는 솥을 식히려면 물을 젓지 말고 땔감을 빼야 한다는 고전적 은유에서 유래한다.,성어·은유,"근원제거, 동력차단, 구조해체",상대의 겉힘과 싸우지 말고 힘을 만드는 원천을 제거한다.,"문제의 증상과 싸우면 소모전이 된다. 예산, 공급망, 데이터, 인력, 명분처럼 상대 행동을 가능하게 하는 에너지원을 차단해야 한다.",제재·공급망전략·위기관리,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
20,혼전계,혼수막어,混水摸魚,混水摸鱼,hún shuǐ mō yú,흐린 물에서 고기를 더듬어 잡다,『삼십육계』 제20계 원문: 乘其陰亂，利其弱而無主。隨，以向晦入宴息。,물이 흐릴수록 고기를 잡기 쉽다는 민간 은유가 혼란기 전술로 전환된 성어다.,성어·혼란전술,"혼란활용, 정보비대칭, 기회획득",상대의 질서와 인식이 흐려진 상태에서 필요한 이익을 확보한다.,불확실성은 모두에게 위험이지만 준비된 자에게는 정보비대칭 기회다. 다만 현대 조직에서는 법적·윤리적 경계를 명확히 해야 한다.,시장변동·정보전·협상,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
21,혼전계,금선탈각,金蟬脫殼,金蝉脱壳,jīn chán tuō qiào,매미가 허물을 벗고 빠져나가다,『삼십육계』 제21계 원문: 存其形，完其勢；友不疑，敵不動。巽而止蠱。,매미가 껍질을 남긴 채 빠져나가는 자연 이미지에서 유래한 은밀 철수·전환의 은유다.,자연은유·성어,"위장철수, 전환, 껍데기유지",겉모습은 유지해 상대를 안심시키고 핵심 역량은 은밀히 이동시킨다.,조직·사업·전력 전환에서 중요한 것은 공백을 들키지 않는 것이다. 외형 안정성을 유지한 채 핵심 자산을 이동시키면 충격을 줄일 수 있다.,사업철수·작전이탈·보안,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
22,혼전계,관문착적,關門捉賊,关门捉贼,guān mén zhuō zéi,문을 닫고 도적을 잡다,『삼십육계』 제22계 원문: 小敵困之。剝，不利有攸往。,도망로를 차단하고 포위망 안에서 상대를 제압한다는 민간·병법적 성어다.,성어·포위전술,"차단, 포획, 봉쇄",작은 적이나 침투세력은 퇴로를 막고 내부에서 확실히 제압한다.,"위협을 밖으로 밀어내기만 하면 다시 돌아온다. 사이버 침해, 내부 부정, 시장 교란은 격리·봉쇄·증거확보 후 처리해야 재발을 막을 수 있다.",치안·사이버보안·위기대응,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
23,혼전계,원교근공,遠交近攻,远交近攻,yuǎn jiāo jìn gōng,먼 나라와 사귀고 가까운 나라를 공격하다,『삼십육계』 제23계 원문: 形禁勢格，利從近取，害以遠隔。上火下澤。,"전국시대 진나라 재상 범수의 원교근공책이 대표 전거이며, 『사기』 범수·채택열전에 관련 내용이 전한다.",역사고사·전국시대,"외교전략, 우선순위, 분할대응",먼 세력과 협력해 가까운 직접 경쟁자를 단계적으로 압박한다.,경쟁은 거리와 이해관계의 함수다. 직접 충돌 가능성이 낮은 원거리 파트너와 연합하면 근거리 경쟁자의 압박을 분산할 수 있다.,외교·시장확장·연합전략,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
24,혼전계,가도벌괵,假道伐虢,假道伐虢,jiǎ dào fá guó,길을 빌려 괵나라를 치다,『삼십육계』 제24계 원문: 兩大之間，敵脅以從，我假以勢。困，有言不信。,"춘추시대 진나라가 우나라 길을 빌려 괵나라를 치고 돌아오는 길에 우나라도 병합한 고사로, 『좌전』 희공 편과 연결된다.",역사고사·춘추시대,"통로확보, 명분차용, 단계침투",일시적 통행·협력 명분을 이용해 전략적 위치를 확보한다.,"접근권은 권력이다. 일단 통로와 거점을 확보하면 일시적 허가가 구조적 영향력으로 변할 수 있으므로, 접근권 제공에는 종료조건과 통제권이 필요하다.",외교·물류·기지전략,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
25,병전계,투량환주,偷梁換柱,偷梁换柱,tōu liáng huàn zhù,대들보와 기둥을 몰래 바꾸다,『삼십육계』 제25계 원문: 頻更其陣，抽其勁旅，待其自敗，而後乘之。曳其輪也。,"건축의 핵심 구조물을 바꾼다는 은유에서 유래하여, 상대 핵심 요소를 은밀히 대체하는 계책으로 전승된다.",은유·성어,"핵심대체, 구조변조, 내부교란",겉모습은 유지하면서 내부 핵심 구조를 바꿔 상대 체계를 약화한다.,"시스템은 외형보다 핵심 구성요소에 의해 유지된다. 데이터, 규칙, 인력, 표준을 교체하면 조직의 행동은 조용히 다른 방향으로 바뀐다.",조직개편·공급망·정보작전,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
26,병전계,지상매괴,指桑罵槐,指桑骂槐,zhǐ sāng mà huái,뽕나무를 가리키며 홰나무를 꾸짖다,『삼십육계』 제26계 원문: 大凌小者，警以誘之。剛中而應，行險而順。,한 대상을 꾸짖어 실제 대상에게 경고를 보내는 중국 성어 전통에서 유래한다.,성어·간접경고,"간접신호, 규율, 경고",제3자를 처벌하거나 지적해 실제 대상에게 메시지를 보낸다.,직접 충돌이 비용이 클 때 간접 신호는 질서를 만든다. 다만 조직관리에서는 모욕·희생양 만들기가 아니라 기준과 규율의 공개적 일관성으로 운용해야 한다.,조직관리·외교신호·규율통제,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
27,병전계,가치부전,假痴不癲,假痴不癫,jiǎ chī bù diān,어리석은 척하되 미치지는 않다,『삼십육계』 제27계 원문: 寧偽作不知不為，不偽作假知妄為。靜不露機，雲雷屯也。,삼국시대 사마의가 병든 척하며 정적의 경계를 낮춘 고사 등과 연결되어 해석된다.,역사고사·위장전술,"능력은폐, 침묵, 기회대기",능력과 의도를 숨기고 무해해 보이는 상태를 유지한다.,"능력을 과시하면 견제가 시작된다. 때로는 낮은 프로필이 생존과 반격의 조건이 되며, 침묵은 무능이 아니라 전략적 은폐일 수 있다.",정치전략·경쟁전략·보안,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
28,병전계,상옥추제,上屋抽梯,上屋抽梯,shàng wū chōu tī,지붕에 올려놓고 사다리를 치우다,『삼십육계』 제28계 원문: 假之以便，唆之使前，斷其援應，陷之死地。遇毒，位不當也。,상대나 아군을 되돌아갈 수 없는 위치에 놓아 결단하게 만드는 성어적 전술에서 유래한다.,성어·결박전술,"퇴로차단, 몰입유도, 결단강제",상대를 유리해 보이는 위치로 유인한 뒤 지원과 퇴로를 끊는다.,"인간은 선택지가 남아 있을 때 망설인다. 퇴로를 차단하는 설계는 강력하지만, 현대 조직에서는 무책임한 강제가 아니라 책임 있는 몰입 구조로 제한해야 한다.",협상·조직변화·군사작전,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
29,병전계,수상개화,樹上開花,树上开花,shù shàng kāi huā,나무 위에 꽃을 피우다,『삼십육계』 제29계 원문: 借局布勢，力小勢大。鴻漸於陸，其羽可用為儀也。,실제보다 크게 보이도록 장식·외형·세를 빌리는 은유적 계책으로 전승된다.,은유·허세전술,"세불리기, 외형확대, 권위차용",타인의 자원·상징·제도·무대를 빌려 자신의 규모와 영향력을 키워 보인다.,"초기 조직은 실력만으로 신뢰를 얻기 어렵다. 적절한 제휴, 인증, 레퍼런스, 무대 장악은 작은 역량을 큰 세력처럼 보이게 하는 합법적 전략자산이다.",브랜딩·스타트업·외교,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
30,병전계,반객위주,反客爲主,反客为主,fǎn kè wéi zhǔ,손님이 도리어 주인이 되다,『삼십육계』 제30계 원문: 乘隙插足，扼其主機，漸之進也。,손님으로 들어가 점차 주도권을 장악한다는 성어적 정치·군사 전술에서 유래한다.,성어·주도권전환,"주도권장악, 침투, 단계확대",초기에는 종속적 위치로 들어가지만 점차 핵심 기능을 장악해 주인이 된다.,"생태계 전략에서는 진입 위치보다 통제 지점이 중요하다. 보조 사업자, 하청, 파트너로 시작해 데이터·고객접점·표준을 장악하면 주도권이 이동한다.",플랫폼전략·협상·조직정치,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
31,패전계,미인계,美人計,美人计,měi rén jì,미인을 이용하는 계책,『삼십육계』 제31계 원문: 兵強者，攻其將；將智者，伐其情。將弱兵頹，其勢自萎。利用禦寇，順相保也。,"월나라의 서시 고사, 『삼국지연의』의 초선·왕윤 연환계 등 유혹을 통한 권력교란 사례와 연결된다.",역사·문학고사,"유혹, 정서공격, 리더십교란",강한 군대보다 그 지휘자의 욕망·감정·관계를 공략한다.,"가장 강한 시스템도 인간의 욕망에서 무너질 수 있다. 현대적 의미는 성별화된 유혹이 아니라 이해충돌, 평판, 사적 관계, 정서 취약성에 대한 보안관리다.",방첩·윤리경영·리더십리스크,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
32,패전계,공성계,空城計,空城计,kōng chéng jì,빈 성의 계책,『삼십육계』 제32계 원문: 虛者虛之，疑中生疑；剛柔之際，奇而復奇。,『삼국지연의』에서 제갈량이 빈 성문을 열고 태연히 거문고를 타 사마의를 물러나게 한 이야기가 대표 사례다.,역사소설·심리전,"허장성세, 심리기만, 위험감수",실제로는 약하지만 상대가 과잉해석하도록 태연함과 비정상 신호를 연출한다.,강한 상대는 때로 자신의 지식 때문에 속는다. 상대가 ‘너무 쉬운 표적은 함정’이라고 판단하게 만들면 약자가 시간을 벌 수 있다.,위기협상·심리전·방어작전,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
33,패전계,반간계,反間計,反间计,fǎn jiàn jì,적의 첩자를 역이용하는 계책,『삼십육계』 제33계 원문: 疑中之疑。比之自內，不自失也。,"손자병법 제13편 용간편의 오간, 특히 반간 운용 원리와 직접 연결되는 계책이다.",손자병법·정보전,"역정보, 방첩, 내부분열",상대 정보망을 역이용하여 상대 내부의 의심과 오판을 증폭한다.,정보전의 최고 단계는 적의 수집체계를 파괴하는 것이 아니라 그 체계를 통해 내가 원하는 판단을 하게 만드는 것이다.,방첩·정보작전·사이버기만,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
34,패전계,고육계,苦肉計,苦肉计,kǔ ròu jì,자신의 몸을 괴롭히는 계책,『삼십육계』 제34계 원문: 人不自害，受害必真；假真真假，間以得行。童蒙之吉，順以巽也。,『삼국지연의』 적벽대전에서 황개가 거짓 항복을 믿게 하려고 스스로 매를 맞은 고사가 대표 사례다.,역사소설·기만전술,"자기희생, 신뢰획득, 위장투항",스스로 손해를 감수하는 모습을 보여 상대의 의심을 낮춘다.,신뢰는 말보다 비용 지불로 증명된다. 현대 전략에서는 무리한 자기손상이 아니라 ‘검증 가능한 비용 부담’으로 진정성을 입증하는 방식으로 재해석해야 한다.,협상·정보작전·위기커뮤니케이션,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
35,패전계,연환계,連環計,连环计,lián huán jì,여러 고리를 잇는 계책,『삼십육계』 제35계 원문: 將多兵眾，不可以敵，使其自累，以殺其勢。在師中吉，承天寵也。,"『삼국지연의』의 왕윤·초선 연환계, 적벽대전의 조조 함선 연결 고사 등 복합계책 사례와 연결된다.",역사소설·복합전술,"연쇄효과, 복합기만, 자기구속",여러 계책을 연결해 상대가 스스로 묶이고 움직임을 잃게 만든다.,"단일 수단보다 연쇄 설계가 강하다. 규정, 계약, 평판, 기술의존, 일정 압박을 결합하면 상대가 자신의 선택으로 제약에 빠진다.",전략기획·협상·작전설계,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
36,패전계,주위상,走爲上,走为上,zǒu wéi shàng,달아나는 것이 상책이다,『삼십육계』 제36계 원문: 全師避敵。左次無咎，未失常也。,『남제서』 왕경칙전의 ‘檀公三十六策，走是上計’라는 표현이 ‘삼십육계’ 명칭의 중요한 전거로 알려져 있다.,사서전거·남제서,"철수, 보존, 재기전략",불리한 전투에서는 병력을 보존하고 다음 기회를 위해 철수한다.,철수는 패배가 아니라 선택지 보존이다. 전략적 퇴각은 자산·명분·학습능력을 지켜 다음 국면에서 다시 싸우기 위한 고급 의사결정이다.,위기관리·사업철수·군사작전,https://en.wikipedia.org/wiki/Thirty-Six_Stratagems
